"","Job","Job_partner","Household_size","Education","Education_partner","Edu_diff","Dad_Edu","Mum_Edu","Parents_gap","Parents_gap_cat","emp14Father","emp14Mother","emp14Diff","gndr2","gndr3","gndr4","gndr5","gndr6","gndr7","gndr8","gndr9","gndr10","gndr11","gndr12","gndr13","gndr14","gndr15","Gender_share","Approval","Interfere","Female","Immigrant","Age","Age_sq","Domicile","Maritalstatus","Child","Minority","Country","Income","Income_sq","Interviewe_Female","Job_diff","Unemployed","Unemployed_partner","Housework_partner","Employment_partner","Trust","Religiosity","weight","Vignette_gender"
"20223",NA,NA,3,3,3,0,1,2,-1,"Mother more",1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,3,0,2,1,57,3249,4,1,5,2,"AT",3,9,1,NA,0,0,0,1,9,0,0.547651761959041,1
"20224",64,NA,4,7,5,2,6,6,0,"Equal",1,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0.625,1,0,1,1,35,1225,2,1,2,2,"IE",7,49,1,NA,0,0,1,NA,7,3,0.159209099744686,1
"20225",57.21,33,2,4,4,0,NA,NA,NA,NA,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,1,1,57,3249,3,3,3,2,"EE",5,25,0,24.21,0,0,0,1,5,3,0.0578997557440916,0
"20226",51,58.45,4,7,7,0,7,5,2,"Father more",1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0.5,2,0,1,1,37,1369,1,1,2,2,"PL",10,100,1,-7.45,0,0,0,1,7,8,2.09492276458639,1
"20227",42.78,NA,4,4,4,0,4,4,0,"Equal",1,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0.625,3,0,1,1,26,676,4,3,NA,2,"CY",6,36,1,NA,0,1,0,NA,4,8,0.159329288744177,1
"20228",42.78,38.81,5,3,3,0,3,2,1,"Father more",2,3,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0.6,3,0,2,1,44,1936,4,1,3,2,"DE",9,81,1,3.97,0,0,0,1,3,3,3.03572368021592,0
"20229",44,NA,2,3,3,0,3,2,1,"Father more",1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,1,67,4489,2,1,2,2,"AT",5,25,0,NA,0,0,0,NA,9,9,0.316058127742245,0
"20230",30.28,42,2,4,4,0,NA,5,NA,NA,4,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,1,1,54,2916,1,1,NA,2,"CZ",NA,NA,0,-11.72,0,0,0,1,7,0,0.345083101437285,1
"20231",64.51,55.8,4,6,7,-1,7,7,0,"Equal",1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,1,41,1681,1,3,2,2,"PL",10,100,1,8.71000000000001,0,0,0,1,4,0,2.38011035195977,1
"20232",48.81,40.89,4,4,4,0,2,2,0,"Equal",2,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,2,1,47,2209,3,1,2,2,"IT",NA,NA,0,7.92,0,0,0,1,3,5,1.82837936051994,1
"20233",78.01,62.66,2,7,7,0,7,7,0,"Equal",1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1,0,2,1,61,3721,4,1,2,2,"EE",8,64,1,15.35,0,0,0,1,5,6,0.0580065841634263,0
"20234",54.17,48,2,6,6,0,2,2,0,"Equal",1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,2,1,49,2401,1,1,NA,2,"NL",NA,NA,0,6.17,0,0,0,1,6,0,0.866737678116707,0
